"id","panel_id","palette","light_player","output_path","title","xgid","moves","hits","viewpoint"
"M01","M01-LIGHT-R","Light bottom — setup right","near_player","M01-light-bottom.svg","Complete 3-1 from the opening position","XGID=-b----E-C---eE---c-e----B-:0:0:1:31:0:0:0:0:10",2,0,"canonical XGID; player_1/Homey near; unmirrored; setup right"
"M01","M01-DARK-R","Dark bottom — setup right","player_0","M01-dark-bottom.svg","Complete 3-1 from the opening position","XGID=-b----E-C---eE---c-e----B-:0:0:1:31:0:0:0:0:10",2,0,"canonical XGID; player_1/Homey near; unmirrored; setup right"
"M01","M01-LIGHT-L","Light bottom — setup left","near_player","M01-light-bottom-left.svg","Complete 3-1 from the opening position","XGID=-b----E-C---eE---c-e----B-:0:0:1:31:0:0:0:0:10",2,0,"player_1/Homey near; horizontally mirrored; setup left"
"M01","M01-DARK-L","Dark bottom — setup left","player_0","M01-dark-bottom-left.svg","Complete 3-1 from the opening position","XGID=-b----E-C---eE---c-e----B-:0:0:1:31:0:0:0:0:10",2,0,"player_1/Homey near; horizontally mirrored; setup left"
"M02","M02-LIGHT-R","Light bottom — setup right","near_player","M02-light-bottom.svg","Move onto an existing friendly stack","XGID=------A---C--B----------b-:0:0:1:31:0:0:0:0:10",2,0,"canonical XGID; player_1/Homey near; unmirrored; setup right"
"M02","M02-DARK-R","Dark bottom — setup right","player_0","M02-dark-bottom.svg","Move onto an existing friendly stack","XGID=------A---C--B----------b-:0:0:1:31:0:0:0:0:10",2,0,"canonical XGID; player_1/Homey near; unmirrored; setup right"
"M02","M02-LIGHT-L","Light bottom — setup left","near_player","M02-light-bottom-left.svg","Move onto an existing friendly stack","XGID=------A---C--B----------b-:0:0:1:31:0:0:0:0:10",2,0,"player_1/Homey near; horizontally mirrored; setup left"
"M02","M02-DARK-L","Dark bottom — setup left","player_0","M02-dark-bottom-left.svg","Move onto an existing friendly stack","XGID=------A---C--B----------b-:0:0:1:31:0:0:0:0:10",2,0,"player_1/Homey near; horizontally mirrored; setup left"
"M03","M03-LIGHT-R","Light bottom — setup right","near_player","M03-light-bottom.svg","Hit an opposing blot","XGID=------A---a--A------------:0:0:1:31:0:0:0:0:10",2,1,"canonical XGID; player_1/Homey near; unmirrored; setup right"
"M03","M03-DARK-R","Dark bottom — setup right","player_0","M03-dark-bottom.svg","Hit an opposing blot","XGID=------A---a--A------------:0:0:1:31:0:0:0:0:10",2,1,"canonical XGID; player_1/Homey near; unmirrored; setup right"
