fixture_id,xgid,points,bar_white,bar_black,off_white,off_black,on_roll,dice,action_marker,cube_value,cube_owner,score_white,score_black,match_length,is_crawford,xgid_max_cube
opening_white_roll,XGID=-b----E-C---eE---c-e----B-:0:0:1:52:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,5;2,52,1,center,0,0,,false,1024
opening_black_roll,XGID=-b----E-C---eE---c-e----B-:0:0:-1:52:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,black,5;2,52,1,center,0,0,,false,1024
asymmetric_white_roll,XGID=-FDaA--------------a-Acbb-:1:-1:1:42:3:0:0:7:10,6;4;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;-3;-2;-2,0,0,3,6,white,4;2,42,2,black,3,0,7,false,1024
asymmetric_black_roll,XGID=-BBCa-A--------------aAdf-:1:-1:-1:42:3:0:0:7:10,6;4;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;-3;-2;-2,0,0,3,6,black,4;2,42,2,black,3,0,7,false,1024
white_bar,XGID=-b----E-C---eE---c-e----AA:0:0:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;1,1,0,0,0,white,,00,1,center,0,0,,false,1024
black_bar,XGID=-b----E-C---eE---c-e----AA:0:0:-1:00:0:0:0:0:10,-1;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,1,0,0,black,,00,1,center,0,0,,false,1024
borne_off,XGID=-FDaA--------------a-Acbb-:0:0:1:00:3:0:0:7:10,6;4;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;-3;-2;-2,0,0,3,6,white,,00,1,center,3,0,7,false,1024
centered_cube,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,1,center,0,0,,false,1024
white_owned_cube,XGID=-b----E-C---eE---c-e----B-:1:1:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,2,white,0,0,,false,1024
black_owned_cube,XGID=-b----E-C---eE---c-e----B-:2:-1:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,4,black,0,0,,false,1024
cube_8,XGID=-b----E-C---eE---c-e----B-:3:1:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,8,white,0,0,,false,1024
cube_16,XGID=-b----E-C---eE---c-e----B-:4:1:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,16,white,0,0,,false,1024
cube_32,XGID=-b----E-C---eE---c-e----B-:5:1:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,32,white,0,0,,false,1024
cube_64,XGID=-b----E-C---eE---c-e----B-:6:1:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,64,white,0,0,,false,1024
no_dice,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,1,center,0,0,,false,1024
ordinary_dice,XGID=-b----E-C---eE---c-e----B-:0:0:-1:63:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,black,6;3,63,1,center,0,0,,false,1024
doubles,XGID=-b----E-C---eE---c-e----B-:0:0:1:44:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,4;4,44,1,center,0,0,,false,1024
offer_to_black,XGID=-b----E-C---eE---c-e----B-:1:1:1:D:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,D,2,white,0,0,,false,1024
offer_to_white,XGID=-b----E-C---eE---c-e----B-:1:-1:-1:D:0:0:0:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,black,,D,2,black,0,0,,false,1024
unlimited_nonzero_score,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:3:2:3:0:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,1,center,3,2,,false,1024
ordinary_match,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:2:2:0:7:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,1,center,2,2,7,false,1024
crawford,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:6:2:1:7:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,1,center,6,2,7,true,1024
non_crawford_match,XGID=-b----E-C---eE---c-e----B-:0:0:-1:00:6:3:0:7:10,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,black,,00,1,center,6,3,7,false,1024
large_mc_metadata,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:0:0:20,-2;0;0;0;0;5;0;3;0;0;0;-5;5;0;0;0;-3;0;-5;0;0;0;0;2,0,0,0,0,white,,00,1,center,0,0,,false,1048576
